,name,neighborhood,address,latitude,longitude,stars,review_count,categories
18442,"""Jack In The Box""",Eastside,"""780 E Flamingo Rd""",36.114968,-115.146867,2.5,39,Restaurants;Burgers;Fast Food
18456,"""Il Fornaio""",The Strip,"""3790 Las Vegas Blvd, Ste 13""",36.102269,-115.174664,3.5,524,Restaurants;Italian;Pizza;Seafood
18464,"""Gyro Time""",Southeast,"""5715 S Eastern Ave""",36.08550023,-115.1194323,3.5,69,Greek;Restaurants
18500,"""Rosati's Pizza""",Summerlin,"""10030 W Cheyenne Ave""",36.21875882,-115.314123,3,124,Restaurants;Pizza;Italian;Sandwiches
18616,"""Viet Bistro""",,"""7175 W Lake Mead Blvd""",36.1953125,-115.248178,3.5,323,Restaurants;Vietnamese
18618,"""Poke Heaven""",University,"""4747 S Maryland Pkwy""",36.10416154,-115.1376311,4.5,21,Korean;Hawaiian;Restaurants;Poke;Food
18648,"""barMASA""",The Strip,"""3730 Las Vegas Blvd S""",36.10665561,-115.1769145,2.5,301,Japanese;Restaurants;Sushi Bars
18652,"""Burgerim""",Southeast,"""9635 Bermuda Rd""",36.014137,-115.15498,3.5,85,Restaurants;Vegan;Fast Food;Burgers
18691,"""Forte European Tapas Bar and Bistro""",Spring Valley,"""4180 Rainbow Blvd, Ste 806""",36.112856,-115.242389,4,419,Restaurants;Tapas Bars;Nightlife;Modern European;Ukrainian;Spanish;Bars
18733,"""La Mojarra Loca""",Sunrise,"""821 N Lamb Blvd, Ste 14""",36.1782296,-115.0797986,4,41,Mexican;Seafood;Restaurants
18749,"""McDonald's""",University,"""4855 S Maryland Pkwy""",36.1017503,-115.1374577,1.5,60,Restaurants;Burgers;Fast Food
18781,"""Five Star Tavern""",Northwest,"""4402 N Rancho Dr""",36.2399444,-115.2300782,4,15,American (Traditional);Restaurants;Bars;Casinos;Arts & Entertainment;Nightlife;Sports Bars
18824,"""Pizza Hut""",Northwest,"""10420 W Cheyenne Ave, Ste 110""",36.2194492,-115.3246822,2,31,Pizza;Restaurants
18827,"""Smashlee's Grub""",Westside,"""8450 Westcliff Dr""",36.1741728,-115.2770747,1.5,3,Fast Food;Restaurants;Burgers
18855,"""Aloha A Go Go""",Sunrise,"""5841 E Charleston Blvd, Ste 270""",36.1580433,-115.0460999,3.5,37,Restaurants;Japanese;Hawaiian
18898,"""Fatburger""",The Strip,"""3763 Las Vegas Blvd S""",36.10531531,-115.1723651,3.5,626,Restaurants;Burgers;American (Traditional);Fast Food
18937,"""Kopper Keg West""",Westside,"""2257 S Rainbow Blvd""",36.146289,-115.2438882,4,25,Sports Bars;American (Traditional);Bars;Nightlife;Restaurants
19048,"""Popeyes Louisiana Kitchen""",,"""4830 W Sunset Rd""",36.0721266,-115.2068949,2.5,27,American (Traditional);Southern;Fast Food;Chicken Wings;Restaurants
19059,"""Yi Mei Champion Taiwan Deli""",Chinatown,"""4300 Spring Mountain Rd, Ste 116""",36.12752397,-115.197796,3.5,251,Taiwanese;Chinese;Noodles;Delis;Asian Fusion;Restaurants
19098,"""Carve""",,"""5255 Boulder Hwy""",36.1079011,-115.0563724,4,92,Steakhouses;Restaurants
19107,"""Crazy Pita Rotisserie & Grill""",Southeast,"""6587 S Las Vegas Blvd""",36.06884627,-115.1782062,4,160,Mediterranean;Restaurants
19157,"""TGI Fridays""",,"""4000 W Flamingo Rd""",36.11681821,-115.1920739,2.5,150,American (Traditional);Restaurants
19171,"""Tacos Y Tortas El Panzon""",Southeast,"""3720 E Sunset Rd, Ste 110""",36.0718988,-115.0941131,4.5,132,Mexican;Breakfast & Brunch;Restaurants
19172,"""Casa Don Juan Mexican Restaurant""",Southeast,"""3460 E Sunset Rd""",36.0723539,-115.0992807,4,99,Restaurants;Mexican
19191,"""Hash House A Go Go""",The Strip,"""3535 Las Vegas Blvd""",36.11818069,-115.1715798,4,4774,American (New);Restaurants;Breakfast & Brunch
19194,"""Otto Enoteca Pizzeria""",The Strip,"""3355 Las Vegas Blvd S""",36.1226902,-115.1701939,3.5,649,Pizza;Restaurants;Italian
19268,"""Chevron""",Southeast,"""7370 S Las Vegas Blvd""",36.05647112,-115.17178,4,6,Fast Food;Gas Stations;Automotive;Restaurants
19275,"""Cugino's Italian Deli & Pizza""",University,"""4550 S Maryland Pkwy""",36.10698609,-115.1360262,4.5,580,Restaurants;Italian;Delis;Pizza
19316,"""Tropical Smoothie""",Southwest,"""10670 Southern Highlands Pkwy, Ste 100""",35.98383296,-115.2023997,1.5,119,Restaurants;Salad;Sandwiches;Juice Bars & Smoothies;Food
19364,"""Olive Garden Italian Restaurant""",Centennial,"""6191 Centennial Center Blvd""",36.27276647,-115.266529,3.5,188,Wine Bars;Nightlife;Restaurants;Salad;Bars;Italian
19428,"""Brio Tuscan Grille""",Westside,"""420 S Rampart Blvd, Ste 180""",36.1671901,-115.2855925,4,447,Italian;Nightlife;Pizza;Cocktail Bars;Bars;Restaurants
19519,"""Luciano's""",The Strip,"""3200 Las Vegas Blvd S""",36.1272241,-115.1715512,4,8,Italian;Restaurants
19567,"""Las Famosas de Jose""",Southeast,"""2635 E Tropicana Ave""",36.0996154,-115.1134551,4,44,Mexican;Restaurants
19577,"""Palm Pizza""",Downtown,"""3411 E Charleston Blvd""",36.1584128,-115.1007484,2.5,34,Burgers;Sandwiches;Pizza;Restaurants
19628,"""Carl's Jr.""",Southwest,"""8660 Warm Springs Rd""",36.055891,-115.280423,3,21,Fast Food;Restaurants
19633,"""Burger King""",Spring Valley,"""5240 S Fort Apache Rd""",36.09410437,-115.2967972,2.5,21,Fast Food;Burgers;Restaurants
19672,"""PublicUs""",Downtown,"""1126 Fremont St""",36.1657583,-115.1329346,4.5,654,Food;Cafes;Coffee & Tea;Restaurants;American (New)
19673,"""Chicago Joe's""",Downtown,"""820 S 4th St""",36.1609794,-115.1478447,4,338,Sandwiches;Italian;Seafood;Restaurants
19721,"""Jack in the Box""",Westside,"""6400 W Charleston Blvd""",36.1594187,-115.2352271,2.5,21,Restaurants;Fast Food
19777,"""Teriyaki Madness""",Northwest,"""5705 Centennial Ctr Blvd, Ste 190""",36.26471626,-115.2580938,4,109,Hawaiian;Japanese;Asian Fusion;Restaurants
19786,"""Sofia's Pizza""",Sunrise,"""821 N Lamb Blvd""",36.1782332,-115.0796271,3.5,13,Pizza;Restaurants
19871,"""Arby's""",,"""1940 Rock Springs Dr""",36.19485019,-115.2466244,3,27,Restaurants;Fast Food;Sandwiches
19935,"""Hot N Juicy Crawfish""",The Strip,"""3663 Las Vegas Blvd S, Ste 590""",36.108458,-115.171203,4,146,Seafood;Cajun/Creole;Restaurants
19936,"""Michael Mina Pub 1842""",The Strip,"""3799 Las Vegas Blvd S""",36.10348168,-115.168515,3.5,586,Nightlife;Irish;Bars;Gastropubs;Pubs;Restaurants
19943,"""Baja Fresh""",Northwest,"""4343 N Rancho Dr""",36.23845378,-115.2323913,2.5,29,Fast Food;Mexican;Restaurants;Tex-Mex
20073,"""Picasso""",The Strip,"""3600 S Las Vegas Blvd""",36.113808,-115.174438,4.5,789,Nightlife;Bars;Spanish;Restaurants;French
20127,"""Terrace Pointe Cafe""",The Strip,"""3131 Las Vegas Blvd S""",36.126212,-115.164514,4,639,American (Traditional);American (New);Restaurants
20174,"""Our Families Country Cafe""",Southwest,"""10591 S Rainbow Blvd""",35.997073,-115.244096,4,416,Food;Diners;Restaurants;American (Traditional);Sandwiches;Breakfast & Brunch
20327,"""Tae Heung Gak""",Chinatown,"""6870 Spring Mountain Rd, Ste 10""",36.12676942,-115.2420538,4,8,Chinese;Korean;Restaurants
20328,"""Fuku Burger""",Chinatown,"""3429 S Jones Blvd""",36.126649,-115.225307,4,349,Restaurants;Fast Food;Burgers
20329,"""Monta Ramen""",Chinatown,"""5030 Spring Mountain Rd, Ste 6""",36.1270336,-115.2096821,4,2291,Restaurants;Noodles;Ramen;Japanese
20339,"""Del Taco""",,"""4380 N Nellis Blvd""",36.2400085,-115.0614018,3,7,Mexican;Restaurants
20349,"""Mr. ChopStix""",Spring Valley,"""6135 S Fort Apache Rd, Ste 404""",36.0763862,-115.2979663,4,177,Chinese;Restaurants
20427,"""Del Taco""",Eastside,"""3244 E Desert Inn Rd""",36.130009,-115.1033738,2.5,17,Mexican;Fast Food;Restaurants
20597,"""CUT by Wolfgang Puck""",The Strip,"""3325 S Las Vegas Blvd""",36.123472,-115.168265,4,1255,Restaurants;Steakhouses;Bars;Nightlife;Lounges
20600,"""Luke's Lobster Las Vegas""",The Strip,"""3200 S Las Vegas Blvd""",36.12661608,-115.1695653,4.5,368,Restaurants;Seafood
20613,"""Auntie Anne's""",South Summerlin,"""11011 W Charleston Blvd""",36.1564004,-115.3335562,3.5,16,Bakeries;Restaurants;Fast Food;Food;American (New);Pretzels
20785,"""Dukem Ethiopian Restaurant""",Eastside,"""870 Sierra Vista Dr, Ste 1-2""",36.1272898,-115.1446037,4.5,14,Vegetarian;Restaurants;Ethiopian
20880,"""Rampart Buffet""",Westside,"""221 N Rampart Blvd""",36.175747,-115.2917528,2.5,134,Restaurants;Seafood;Steakhouses;Buffets
21032,"""Lillie's Asian Cuisine""",Downtown,"""129 E Fremont St""",36.170349,-115.144506,3.5,88,Hotels & Travel;Casinos;Arts & Entertainment;Event Planning & Services;Hotels;Chinese;Restaurants
21064,"""El Pollo Mobile""",,"""2425 N Rainbow""",36.2033098,-115.242248,4,68,Food;Chicken Shop;Mexican;Restaurants;Food Trucks
21095,"""Kerry's Sports Pub Pizza & Grill""",Northwest,"""3520 N Rancho Dr""",36.2234468,-115.2173307,3,7,Bars;Restaurants;Nightlife;Sports Bars;Pizza
21120,"""Legends Sports Bar & Grill""",Southeast,"""5866 Boulder Hwy""",36.095174,-115.045194,4,26,Bars;Sports Bars;American (Traditional);Nightlife;Restaurants
21205,"""Church's Chicken""",Westside,"""4851 W Charleston Blvd""",36.1588472,-115.2075095,2.5,17,Restaurants;Fast Food
21215,"""Pan Asian Express""",The Strip,"""Bally's Hotel and Casino, 3645 Las Vegas Blvd, South""",36.1144707,-115.1692922,1.5,18,Chinese;Pan Asian;Restaurants
21309,"""Outback Steakhouse""",The Strip,"""3411 Las Vegas Blvd S""",36.120669,-115.171684,3.5,164,Steakhouses;Restaurants
21371,"""Budweiser Brewhouse""",Southeast,"""McCarran International Airport""",36.0839998,-115.1537389,2.5,3,Restaurants;Fast Food
21374,"""Moo Woo Korean BBQ""",Centennial,"""5770 Centennial Center Blvd""",36.2660802,-115.2586289,4.5,230,Korean;Restaurants;Asian Fusion;Barbeque
21388,"""Johnny Rockets""",The Strip,"""3555 Las Vegas Blvd S""",36.115652,-115.172511,3,97,American (Traditional);Restaurants;Burgers;Sandwiches;Diners
21393,"""Taqueria El Buen Pastor""",Westside,"""301 S Decatur Blvd""",36.1697307,-115.2055056,3,77,Restaurants;Mexican
21395,"""Taste My Love""",Northwest,"""3231 N Decatur Blvd, Ste 104""",36.2183313,-115.2081814,5,6,American (Traditional);Restaurants
21405,"""Jack in the Box""",Southeast,"""4640 E Russell Rd""",36.0861652,-115.0721491,2,15,Fast Food;Restaurants
21415,"""Fido's Kitchen""",Westside,"""7875 W Sahara Ave, Ste 103""",36.1432041,-115.262866,5,13,Pet Services;Pets;Food;Restaurants;Pet Adoption;Food Delivery Services;Specialty Food;Pet Stores;American (New)
21419,"""Oyshi Sushi""",Westside,"""7293 W Sahara Ave""",36.14358271,-115.2515591,3.5,474,Japanese;Sushi Bars;Restaurants
21470,"""Pon Ocha Soup""",Sunrise,"""1000 N Nellis Blvd, Ste I""",36.17831394,-115.0616638,4.5,76,Thai;Asian Fusion;Restaurants
21593,"""Little Caesars Pizza""",Sunrise,"""1995 N Nellis Blvd""",36.1957909,-115.0628016,2.5,10,Restaurants;Pizza
21640,"""New Day Cafe""",Southeast,"""467 E Silverado Ranch Blvd, Ste 100""",36.01237167,-115.1527261,3.5,193,Burgers;Restaurants;American (Traditional);Breakfast & Brunch;American (New)
21661,"""Fruits and Roots""",Spring Valley,"""7885 W Sunset Rd, Ste 180""",36.0702141,-115.2620348,4.5,235,Food;Specialty Food;Organic Stores;Vegan;Restaurants;Gluten-Free;Juice Bars & Smoothies
21709,"""Tetsu""",The Strip,"""3730 Las Vegas Blvd S""",36.1073485,-115.1765836,4,91,Restaurants;Japanese
21710,"""The Buffet at Luxor""",The Strip,"""3900 Las Vegas Blvd S""",36.09549193,-115.1758354,2.5,680,American (Traditional);Restaurants;Arts & Entertainment;Casinos;Buffets
21723,"""Dong Ting Spring""",,"""4850 W Flamingo Rd, Ste 34-34""",36.1165039,-115.2068875,4,65,Restaurants;Chinese
21729,"""Barbacoa Kings""",,"""2115 N Decatur Blvd""",36.1975116,-115.2060571,4.5,14,Restaurants;Mexican
21736,"""New York Chinese Restaurant""",Spring Valley,"""3545 S Fort Apache Rd""",36.1251172,-115.2979765,3.5,132,Restaurants;Chinese
21793,"""Sakura Japanese Cuisine""",Chinatown,"""6850 Spring Mountain Rd""",36.1271919,-115.2414116,4,24,Restaurants;Food;Japanese
21803,"""Panda Express""",Eastside,"""5516 Boulder Hwy""",36.10083376,-115.0543288,2,8,Restaurants;Chinese;Fast Food
21861,"""Fat Tuesday""",The Strip,"""3500 Las Vegas Blvd S, Ste L23""",36.118822,-115.178192,4.5,226,American (New);Bars;Restaurants;Nightlife
21862,"""Senor Frog's""",The Strip,"""3300 Las Vegas Blvd S""",36.12475769,-115.1706174,2.5,724,Cocktail Bars;Bars;Mexican;Nightlife;Restaurants
21865,"""Poukei""",The Strip,"""3663 S Las Vegas Blvd, Ste 505""",36.1107901,-115.1714113,3,82,Japanese;Hawaiian;Asian Fusion;Restaurants
21866,"""Café Presse""",The Strip,"""3355 Las Vegas Blvd S""",36.12147628,-115.169935,2.5,4,Cafes;Food;Coffee & Tea;Restaurants
21925,"""Wendy's""",Southeast,"""7355 S Eastern Ave""",36.056,-115.118716,3,32,Burgers;Fast Food;Restaurants
21972,"""Black Bear Diner""",Westside,"""8565 W Sahara Ave""",36.1426631,-115.2782845,3.5,155,Breakfast & Brunch;American (Traditional);Restaurants;Diners
21992,"""Delices Gourmands French Bakery""",Westside,"""3620 W Sahara, Ste W2""",36.145727,-115.1903294,4.5,104,Food;Sandwiches;Coffee & Tea;Restaurants;Desserts;Bakeries
22019,"""Burger King""",Southeast,"""7810 Las Vegas Blvd S""",36.04761056,-115.1717244,3,27,Restaurants;Fast Food;Burgers
22087,"""Winchell's Pub & Grill""",Southeast,"""199 E Warm Springs Rd""",36.05662439,-115.1636807,4,128,Bars;Pubs;American (Traditional);Nightlife;Restaurants
22109,"""Swish""",Westside,"""7875 W Sahara Ave, Ste 105""",36.14307442,-115.2632622,3.5,179,Restaurants;Hot Pot;Japanese;Sushi Bars
22181,"""Olive Garden Italian Restaurant""",Westside,"""1361 S Decatur Blvd""",36.1548474,-115.2073391,3.5,149,Restaurants;Nightlife;Italian;Salad;Wine Bars;Bars
22187,"""Asian Wok""",Centennial,"""6515 N Buffalo Dr""",36.28149012,-115.2676381,4,161,Restaurants;Thai;Asian Fusion;Chinese
22237,"""Del Taco""",Southeast,"""5975 S Eastern Ave""",36.0808928,-115.1193526,4,8,Restaurants;Mexican
22376,"""Todd English P.U.B.""",The Strip,"""3720 S Las Vegas Blvd""",36.1083176,-115.174085,3.5,1387,Bars;British;Beer;Wine & Spirits;Nightlife;Food;Gastropubs;Restaurants
22395,"""Mr. Bangkok""",Southeast,"""7582 S Las Vegas Blvd, Ste 241""",36.050351,-115.171564,5,3,Gluten-Free;Restaurants;Health Markets;Thai;Food;Food Delivery Services;Specialty Food
22414,"""Panda Express""",Westside,"""9795 W Charleston Blvd, Ste 103""",36.15859386,-115.3111246,3.5,34,Chinese;Restaurants;Fast Food
22530,"""Sicili's Pizza""",Eastside,"""529 E Twain Ave""",36.1207999,-115.1513955,4,158,Restaurants;Pizza
22663,"""Losers Most Wanted Bar""",The Strip,"""3799 S Las Vegas Blvd""",36.1022507,-115.1699679,4,33,Bars;Restaurants;American (New);Nightlife
22712,"""Jack In the Box""",,"""4680 S Decatur Blvd""",36.10165897,-115.2073942,2.5,10,Fast Food;Restaurants
22750,"""Border Grill""",The Strip,"""3950 S Las Vegas Blvd""",36.09006691,-115.1769729,4,1432,Restaurants;Breakfast & Brunch;Mexican;Tapas/Small Plates
22839,"""Rick's Rollin Smoke BBQ & Tavern""",Downtown,"""725 Las Vegas Blvd S, Ste 110""",36.161205,-115.145457,4,169,Sandwiches;Beer Bar;Nightlife;Bars;Barbeque;Restaurants
22863,"""Lip Smacking Foodie Tours""",The Strip,"""3635 Las Vegas Blvd S""",36.11453676,-115.1726783,5,179,Food Tours;Restaurants;Event Planning & Services;Food;Hotels;Hotels & Travel;Tours;Walking Tours
22887,"""China Joe's""",Eastside,"""1350 E Flamingo Rd""",36.115409,-115.134947,2.5,53,Chinese;Restaurants
22917,"""Dumpling And Noodle House""",The Strip,"""3743 Las Vegas Blvd S""",36.10760017,-115.1716613,3,29,Restaurants;Noodles;Chinese
22921,"""Yogi's Teriyaki""",Spring Valley,"""4825 S Fort Apache Rd""",36.10139305,-115.298268,4,93,Restaurants;Japanese
22931,"""Coast 2 Coast Food Truck""",The Strip,"""""",36.128561,-115.1711298,3.5,24,Food Trucks;Sandwiches;Food;Restaurants;Delis
22949,"""Golden China Chinese Cuisine""",Eastside,"""3830 E Flamingo Rd, Ste E4""",36.1170214,-115.0904787,3,119,Restaurants;Chinese
22987,"""Egg Works""",Spring Valley,"""6960 S Rainbow Blvd""",36.06219401,-115.2418562,4.5,829,Breakfast & Brunch;Restaurants;American (Traditional)
22995,"""Little Crown & Anchor Pub""",Chinatown,"""4755 Spring Mountain Rd""",36.126151,-115.205974,3.5,114,Pubs;Bars;British;Nightlife;Restaurants
23012,"""Blue Martini Lounge""",Southeast,"""6593 Las Vegas Blvd S, Bldg L B214""",36.06837063,-115.1775359,3.5,796,Bars;Lounges;Restaurants;Nightlife;American (New)
23118,"""Subway""",Centennial,"""7171 N Hualapai Way""",36.2912061,-115.315539,3,26,Sandwiches;Fast Food;Restaurants
23130,"""Trevi""",The Strip,"""3500 S Las Vegas Blvd""",36.11896409,-115.1757905,3.5,771,Pizza;American (Traditional);Restaurants;Ice Cream & Frozen Yogurt;Italian;Food
23134,"""Subway""",Spring Valley,"""5693 S Jones Blvd, Ste 121""",36.08692056,-115.2255934,3.5,13,Vegetarian;Fast Food;Restaurants;Sandwiches
23225,"""Tony's Mexican Food""",Spring Valley,"""5752 S Ft Apache Rd, Ste 100""",36.08382209,-115.2970706,3.5,123,Mexican;Restaurants
23275,"""Pan Asian""",Westside,"""2980 S Durango Dr, Ste 101""",36.1350039,-115.2784117,4.5,616,Japanese;Restaurants;Thai;Chinese
23313,"""Beau Monde Bakery""",Summerlin,"""2380 N Buffalo Dr, Ste 110""",36.2031099,-115.2602202,4,80,Food;Gluten-Free;Restaurants;Bakeries
23341,"""Aces & Ales""",,"""2801 N Tenaya Way, Ste A""",36.2111234,-115.2496893,4,391,Restaurants;Nightlife;Sports Bars;Bars;Pubs;American (Traditional);American (New)
23423,"""Pop's Philly Steaks""",Westside,"""501 S Decatur Blvd""",36.166261,-115.205674,3.5,534,Restaurants;Sandwiches;Cheesesteaks
23457,"""Carl's Jr""",,"""1991 N Decatur Blvd""",36.19505021,-115.2065319,2,8,Fast Food;Restaurants
23495,"""California Pizza Kitchen""",South Summerlin,"""10945 Oval Park Dr""",36.15151159,-115.3318271,3.5,188,Restaurants;American (Traditional);Nightlife;Bars;Cocktail Bars;Pizza
23546,"""Yama Sushi""",Eastside,"""1350 E Flamingo Rd, Ste 18""",36.11552045,-115.1349706,4,1717,Restaurants;Sushi Bars
23561,"""Maria's Mexican Restaurant & Bakery""",Sunrise,"""6055 E Lake Mead Blvd""",36.1955917,-115.0404601,4.5,152,Mexican;Restaurants;Patisserie/Cake Shop;Bars;Food;Nightlife
23596,"""KFC""",Northwest,"""8590 W Cheyenne Ave""",36.219158,-115.280424,1.5,9,Buffets;Restaurants;Chicken Wings
23628,"""Margaritaville""",The Strip,"""3555 Las Vegas Blvd S""",36.117162,-115.172409,3.5,1327,Burgers;Nightlife;American (New);Bars;Music Venues;American (Traditional);Seafood;Arts & Entertainment;African;Restaurants
23636,"""Morels French Steakhouse & Bistro""",The Strip,"""3325 Las Vegas Blvd S""",36.12460358,-115.1689885,3.5,614,Restaurants;Steakhouses;Lounges;Nightlife;French;Bars
23661,"""Kona Grill""",The Strip,"""3200 S Las Vegas Blvd""",36.12720677,-115.1688744,4,270,American (New);Sushi Bars;Restaurants
23716,"""Mr Eat'z""",,"""6386 W Lake Mead Blvd""",36.1964168,-115.2325496,3.5,60,Pizza;Restaurants
23739,"""Roberto's Taco Shop""",Westside,"""3399 S Durango Dr, Ste 102""",36.1290247,-115.2797872,2.5,56,Fast Food;Restaurants;Mexican
23746,"""Pastaidea""",Summerlin,"""7668 W Lake Mead Blvd, Unit 107""",36.196944,-115.262117,4.5,364,Restaurants;Italian;Noodles
23787,"""Subway""",The Strip,"""2890 Las Vegas Blvd S""",36.1359891,-115.1631235,1,12,Sandwiches;Restaurants;Fast Food;Pizza
23792,"""Los Tacos""",Westside,"""4001 W Sahara Ave""",36.1440859,-115.1943448,4,327,Mexican;Restaurants
23812,"""Boteco""",,"""9500 S Eastern Ave""",36.0164931,-115.1170689,4.5,72,Tapas/Small Plates;Cocktail Bars;Restaurants;Wine Bars;Nightlife;Bars
23835,"""Chipotle Mexican Grill""",Southeast,"""5715 S Eastern Ave, Ste 105""",36.08541829,-115.1194384,3,40,Fast Food;Restaurants;Mexican
23841,"""Tacos El Gordo""",Downtown,"""1724 E Charleston Blvd""",36.1584751,-115.1265495,4.5,1363,Restaurants;Mexican;Tacos
23909,"""El Pollo Loco""",,"""1985 N Martin Luther King Blvd""",36.194605,-115.161167,2.5,11,Mexican;Restaurants;Fast Food
23941,"""Firehouse Subs""",University,"""4761 S Maryland Pkwy""",36.10317427,-115.1377786,4,37,Sandwiches;Fast Food;American (New);Restaurants;Delis
23990,"""KFC""",Downtown,"""2312 S Maryland Pky""",36.1451,-115.137,1.5,31,Restaurants;Chicken Wings;Fast Food
24049,"""Pinoy Resto Buffet""",Downtown,"""1436 E Charleston Ave""",36.15936,-115.160712,3.5,6,Buffets;Filipino;Restaurants;Asian Fusion
24207,"""Las Islitas""",,"""911 N Pecos Rd""",36.1812782,-115.0994456,3,50,Restaurants;Mexican
24229,"""Mango Tango""",Westside,"""2101 S Decatur Blvd, Ste 1-4""",36.15083791,-115.2095495,2,19,Nightlife;Cocktail Bars;Latin American;Bars;Restaurants;Dance Clubs
24313,"""Istanbul Mediterranean""",The Strip,"""3615 S Las Vegas Blvd, Unit 101""",36.1143748,-115.172408,4,81,Turkish;Restaurants;Halal;Mediterranean
24586,"""The Peppermill Restaurant & Fireside Lounge""",The Strip,"""2985 Las Vegas Blvd S""",36.13366733,-115.1630948,4,2703,Bars;American (Traditional);Lounges;Nightlife;Breakfast & Brunch;Restaurants
24592,"""Sticky Iggy's""",Downtown,"""""",36.1699413,-115.1398294,5,14,Food Trucks;Food;Waffles;Restaurants;American (Traditional)
24640,"""Online Restaurants""",,"""4170 S Decatur Blvd""",36.114028,-115.2075459,5,9,Food Delivery Services;Caterers;Food;Restaurants;Event Planning & Services
24883,"""Andre's Bistro & Bar""",Spring Valley,"""6115 S Fort Apache Rd, Ste 112""",36.076968,-115.298524,4,176,American (New);Bars;Restaurants;French;Nightlife;Food;Desserts
25060,"""Jack in the Box""",Southeast,"""6451 Boulder Hwy""",36.08477976,-115.0315822,3,15,Fast Food;Restaurants
25096,"""Secret Pizza""",The Strip,"""The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S""",36.11237223,-115.1730639,4,3741,Pizza;Restaurants
25153,"""Michael's Gourmet Room""",Southeast,"""South Point Hotel & Casino, 9777 S Las Vegas Blvd""",36.011478,-115.174141,4.5,141,Steakhouses;Seafood;Restaurants;American (Traditional)
25268,"""Panda Express""",Westside,"""1121 S Decatur Blvd""",36.1584067,-115.2053419,3,24,Restaurants;Fast Food;Chinese
25328,"""El Burrito Mexican Restaurant""",Summerlin,"""8508 Del Webb Blvd""",36.2104502,-115.2794629,3.5,85,Mexican;Restaurants
25466,"""Panevino Italian Grille""",Southeast,"""246 Via Antonio Ave""",36.07082623,-115.162891,4,395,Italian;Food;Vegan;Restaurants;Bars;Nightlife
25572,"""Felipito's Mexican Food""",,"""5095 S Decatur Blvd""",36.097465,-115.2086833,3.5,62,Mexican;Restaurants
25721,"""El Birotazo""",Sunrise,"""4262 E Charleston Blvd""",36.1593088,-115.0823087,4,45,Restaurants;Mexican
25846,"""Subway""",,"""4925 Boulder Hwy, Ste B""",36.1143495,-115.0650962,2,8,Fast Food;Sandwiches;Restaurants
25890,"""LA Subs & Salads""",The Strip,"""Flamingo Hotel and Casino, 3555 Las Vegas Blvd S""",36.116349,-115.172121,3,22,Restaurants;Sandwiches;Salad
25891,"""Nathan's Famous""",The Strip,"""MGM Hotel & Casino Food Court, 3799 Las Vegas Blvd S""",36.103191,-115.168455,2.5,82,Hot Dogs;Restaurants
25951,"""Manchu Wok""",The Strip,"""3370 S. Las Vegas Blvd.""",36.1214942,-115.1720489,1,14,Restaurants;Chinese
26006,"""PhilHouse""",Southeast,"""467 E Silverado Ranch Blvd""",36.01184145,-115.1530873,4,21,Restaurants;Filipino
26137,"""Breakfast & Burgers""",The Strip,"""3850 S Las Vegas Blvd""",36.0986606,-115.1750953,2.5,36,Restaurants;Breakfast & Brunch;Burgers
26149,"""Pizza Company""",Southeast,"""2275 E Sunset Rd""",36.0711094,-115.1211894,4,171,Food;Pizza;Restaurants
26259,"""Taco Bell""",Summerlin,"""9480 W. Lake Mead Blvd.""",36.206848,-115.300544,2.5,18,Mexican;Restaurants;Fast Food;Tex-Mex
26269,"""Subway""",Summerlin,"""2255 N Rampart Blvd""",36.2017936,-115.2819809,3,12,Restaurants;Fast Food;Sandwiches
26270,"""Papa John's Pizza""",Summerlin,"""8574 W Lake Mead Blvd""",36.201019,-115.280644,2,24,Restaurants;Food Delivery Services;Pizza;Food
26298,"""Stake Out Bar & Grill""",University,"""4800 S Maryland Pkwy, Ste A""",36.1027088,-115.1363023,4,113,Restaurants;Nightlife;Pubs;Sandwiches;Sports Bars;American (New);Bars;Salad
26372,"""Taco Bell""",Sunrise,"""3661 E. Bonanza Road""",36.173505,-115.094507,2,4,Restaurants;Fast Food;Tex-Mex;Mexican
26427,"""Chipotle Mexican Grill""",Southeast,"""7370 S Las Vegas Blvd""",36.0560643,-115.1715838,3.5,109,Fast Food;Mexican;Restaurants
26447,"""Tacos Los Toritos""",Sunrise,"""861 N Nellis Blvd""",36.1798261,-115.0627135,4.5,39,Mexican;Restaurants
26470,"""Tropical Smoothie Cafe - Excalibur""",The Strip,"""3850 S Las Vegas Blvd""",36.09856051,-115.1751852,4,24,Fast Food;Restaurants;Sandwiches
26477,"""Carding's Tambayan""",,"""4180 S Jones Blvd, Unit 1""",36.1129254,-115.2243713,4,31,Hawaiian;Asian Fusion;Filipino;Karaoke;Nightlife;Restaurants
26488,"""Yunnan Tasty Garden""",Chinatown,"""5115 Spring Mt Rd""",36.1256933,-115.2112778,4,111,Chinese;Hot Pot;Restaurants
26513,"""The Cracked Egg""",South Summerlin,"""9921 W Charleston Blvd""",36.15788227,-115.3134784,4,227,Breakfast & Brunch;American (New);Restaurants
26718,"""Mr Sandwich""",University,"""4626 S Maryland Pkwy, Ste C""",36.105748,-115.136843,3.5,153,Juice Bars & Smoothies;Restaurants;Vietnamese;Sandwiches;Food
